"test","50","100","200","500"
"White",17,36.25,73,99.75
"Breusch-Pagan",24.75,49,83.25,99.5
"Koenker",24.25,50,82.5,99.5
"Goldfeld-Quandt",36.25,60.5,85.75,99.25
